Booking#,dt,Agent#,Agent_Name,Cust_Number,Destination#,Destination_City,Destination_Country,Destination_Region,Amount,From_Date,To_Date,Length of Stay
1556,27/02/2018,5,Sandy Douglas,24686,88,Miami Beach,United States,North America,6073,13/05/2019,30/05/2019,17
1557,27/02/2018,4,Mitchell Barton,42064,115,Melbourne,Australia,Oceania/Australia,4211,14/03/2018,06/04/2018,23
1558,27/02/2018,2,Molly Cross,7315,8,Johannesburg,South Africa,Africa,2197,16/02/2018,20/02/2018,4
1559,27/02/2018,11,Kay Adams,43646,97,Oakland,United States,North America,5201,26/09/2018,24/10/2018,28
1560,27/02/2018,10,Simon Fleming,3193,16,Jaipur,India,Asia,11062,18/04/2019,09/05/2019,21
1561,27/02/2018,5,Sandy Douglas,31761,95,Newark,United States,North America,14879,16/06/2019,15/07/2019,29
1562,27/02/2018,11,Kay Adams,31967,18,Ubud,Indonesia,Asia,2289,28/03/2019,27/04/2019,30
1563,27/02/2018,7,Horace Hawkins,27134,29,Dublin,Ireland,Europe,4423,04/03/2018,19/03/2018,15
1564,27/02/2018,5,Sandy Douglas,31290,39,Istanbul,Turkey,Europe,10203,01/12/2018,04/12/2018,3
1565,28/02/2018,8,Elisa Bennett,34215,29,Dublin,Ireland,Europe,3262,18/01/2019,11/02/2019,24
1566,28/02/2018,2,Molly Cross,26487,55,Acapulco,Mexico,North America,6873,12/08/2019,04/09/2019,23
1567,28/02/2018,4,Mitchell Barton,44623,12,Beijing,China,Asia,14074,01/11/2018,09/11/2018,8
1568,28/02/2018,1,Jordan Curry,43384,65,Birmingham,United States,North America,12251,31/05/2018,21/06/2018,21
1569,28/02/2018,6,Thelma Jefferson,25855,43,Luxor,Egypt,Middle East,12919,27/02/2018,25/03/2018,26
1570,28/02/2018,10,Simon Fleming,21437,70,Charlotte,United States,North America,8215,29/08/2019,05/09/2019,7
1571,28/02/2018,4,Mitchell Barton,8342,64,Baton Rouge,United States,North America,8180,05/05/2018,16/05/2018,11
1572,28/02/2018,1,Jordan Curry,48175,92,Nashville,United States,North America,9535,06/05/2018,09/05/2018,3
1573,28/02/2018,11,Kay Adams,14180,124,Bogota,Colombia,South America,4715,15/05/2018,17/05/2018,2
1574,28/02/2018,9,Olive Diaz,8177,110,Tucson,United States,North America,11169,21/02/2018,13/03/2018,20
1575,28/02/2018,10,Simon Fleming,40809,96,Norfolk,United States,North America,9207,07/09/2018,19/09/2018,12
1576,28/02/2018,10,Simon Fleming,20711,75,Fort Worth,United States,North America,2328,13/12/2018,23/12/2018,10
1577,28/02/2018,7,Horace Hawkins,6050,59,Puerto Vallarta,Mexico,North America,9182,05/05/2018,31/05/2018,26
1578,28/02/2018,5,Sandy Douglas,8625,61,Anchorage,United States,North America,11416,06/09/2018,03/10/2018,27
1579,28/02/2018,1,Jordan Curry,21965,54,Vancouver,Canada,North America,7349,12/06/2019,02/07/2019,20
1580,28/02/2018,2,Molly Cross,38172,14,Hong Kong,China,Asia,5121,22/11/2018,07/12/2018,15
1581,28/02/2018,2,Molly Cross,11702,40,Edinburgh,United Kingdom,Europe,14933,01/05/2019,24/05/2019,23
1582,28/02/2018,7,Horace Hawkins,7434,104,Sacramento,United States,North America,8099,28/05/2019,16/06/2019,19
1583,28/02/2018,3,Carole Cox,24732,60,Anaheim,United States,North America,13588,11/03/2018,21/03/2018,10
1584,28/02/2018,7,Horace Hawkins,21196,106,San Diego,United States,North America,6117,19/04/2018,11/05/2018,22
1585,28/02/2018,11,Kay Adams,36761,38,Amsterdam,The Netherlands,Europe,13469,19/06/2019,28/06/2019,9
1586,28/02/2018,2,Molly Cross,15992,48,Calgary,Canada,North America,13539,24/01/2019,21/02/2019,28
1587,01/03/2018,6,Thelma Jefferson,10569,91,Myrtle Beach,United States,North America,7319,14/03/2019,10/04/2019,27
1588,01/03/2018,3,Carole Cox,18840,58,Playa del Carmen,Mexico,North America,5641,04/02/2019,04/03/2019,28
1589,01/03/2018,2,Molly Cross,40689,18,Ubud,Indonesia,Asia,6369,23/05/2019,01/06/2019,9
1590,01/03/2018,9,Olive Diaz,11398,18,Ubud,Indonesia,Asia,8283,22/01/2019,18/02/2019,27
1591,01/03/2018,2,Molly Cross,9454,24,Vienna,Austria,Europe,6289,23/04/2018,03/05/2018,10
1592,01/03/2018,10,Simon Fleming,30855,27,Athens,Greece,Europe,11272,10/05/2018,07/06/2018,28
1593,01/03/2018,2,Molly Cross,32898,64,Baton Rouge,United States,North America,7190,08/02/2019,28/02/2019,20
1594,01/03/2018,8,Elisa Bennett,48829,13,Guangzhou,China,Asia,10895,04/05/2019,22/05/2019,18
1595,01/03/2018,2,Molly Cross,16163,37,Zermatt,Switzerland,Europe,12303,23/09/2018,08/10/2018,15
1596,01/03/2018,6,Thelma Jefferson,40673,128,Lima,Peru,South America,2019,16/08/2019,21/08/2019,5
1597,01/03/2018,11,Kay Adams,48943,5,Watamu,Kenya,Africa,6213,27/05/2019,18/06/2019,22
1598,01/03/2018,4,Mitchell Barton,49463,70,Charlotte,United States,North America,14751,07/04/2019,02/05/2019,25
1599,01/03/2018,7,Horace Hawkins,30486,53,Toronto,Canada,North America,10808,07/08/2019,13/08/2019,6
1600,01/03/2018,3,Carole Cox,12819,65,Birmingham,United States,North America,4720,05/04/2018,20/04/2018,15
1601,01/03/2018,6,Thelma Jefferson,3126,46,Tel Aviv,Israel,Middle East,3993,17/05/2018,07/06/2018,21
1602,01/03/2018,4,Mitchell Barton,41532,70,Charlotte,United States,North America,10555,09/08/2018,22/08/2018,13
1603,01/03/2018,9,Olive Diaz,31379,78,Honolulu,United States,North America,8282,05/04/2018,18/04/2018,13
1604,01/03/2018,7,Horace Hawkins,16632,33,Krakow,Poland,Europe,11748,08/05/2018,04/06/2018,27
1605,01/03/2018,10,Simon Fleming,30770,26,Berlin,Germany,Europe,14800,05/06/2018,06/06/2018,1
1606,01/03/2018,9,Olive Diaz,38131,47,Dubai,United Arab Emirates,Middle East,10454,10/04/2019,07/05/2019,27
1607,01/03/2018,10,Simon Fleming,25984,111,Tulsa,United States,North America,12460,24/07/2019,25/07/2019,1
1608,01/03/2018,10,Simon Fleming,33350,53,Toronto,Canada,North America,9889,27/09/2019,23/10/2019,26
1609,01/03/2018,7,Horace Hawkins,1422,43,Luxor,Egypt,Middle East,6195,22/05/2019,01/06/2019,10
1610,01/03/2018,9,Olive Diaz,23962,76,Fresno,United States,North America,4397,09/12/2018,06/01/2019,28
1611,01/03/2018,9,Olive Diaz,10629,2,Kololi,Gambia,Africa,3504,29/09/2018,10/10/2018,11
1612,01/03/2018,9,Olive Diaz,6247,117,Port Moresby,Papua New Guinea,Oceania/Australia,5176,06/03/2018,19/03/2018,13
1613,01/03/2018,8,Elisa Bennett,36361,109,Tampa,United States,North America,13769,26/01/2019,19/02/2019,24
1614,01/03/2018,11,Kay Adams,15670,10,Stone Town,Tanzania,Africa,8775,11/11/2018,20/11/2018,9
1615,01/03/2018,2,Molly Cross,10627,2,Kololi,Gambia,Africa,9851,14/01/2019,18/01/2019,4
1616,01/03/2018,3,Carole Cox,28299,66,Boston,United States,North America,10443,02/08/2018,23/08/2018,21
1617,01/03/2018,7,Horace Hawkins,2306,12,Beijing,China,Asia,10675,18/09/2019,18/10/2019,30
1618,02/03/2018,9,Olive Diaz,15584,77,Greensboro,United States,North America,10827,08/08/2019,30/08/2019,22
1619,02/03/2018,3,Carole Cox,20796,125,Santa Marta,Colombia,South America,7262,17/08/2019,27/08/2019,10
1620,02/03/2018,2,Molly Cross,31793,123,Santiago,Chile,South America,11799,07/05/2019,12/05/2019,5
1621,02/03/2018,9,Olive Diaz,46523,83,Lincoln,United States,North America,5067,06/04/2018,30/04/2018,24
1622,02/03/2018,6,Thelma Jefferson,44792,46,Tel Aviv,Israel,Middle East,14388,21/06/2019,15/07/2019,24
1623,02/03/2018,10,Simon Fleming,28558,111,Tulsa,United States,North America,8057,29/05/2018,25/06/2018,27
1624,02/03/2018,1,Jordan Curry,578,110,Tucson,United States,North America,9069,01/04/2018,04/04/2018,3
1625,02/03/2018,10,Simon Fleming,27191,29,Dublin,Ireland,Europe,10430,10/08/2019,01/09/2019,22
1626,02/03/2018,5,Sandy Douglas,37964,124,Bogota,Colombia,South America,12785,18/10/2018,13/11/2018,26
1627,02/03/2018,6,Thelma Jefferson,25123,100,Palm Springs,United States,North America,6242,01/03/2018,17/03/2018,16
1628,02/03/2018,7,Horace Hawkins,24691,125,Santa Marta,Colombia,South America,10786,04/06/2018,01/07/2018,27
1629,02/03/2018,2,Molly Cross,23940,19,Tokyo,Japan,Asia,13825,26/06/2018,08/07/2018,12
1630,02/03/2018,10,Simon Fleming,20958,122,Santa Cruz,Chile,South America,10168,28/04/2018,05/05/2018,7
1631,02/03/2018,3,Carole Cox,45874,69,Charleston,United States,North America,10983,31/08/2018,05/09/2018,5
1632,02/03/2018,7,Horace Hawkins,24612,40,Edinburgh,United Kingdom,Europe,5934,04/10/2018,05/10/2018,1
1633,02/03/2018,1,Jordan Curry,13489,40,Edinburgh,United Kingdom,Europe,2971,19/04/2019,24/04/2019,5
1634,02/03/2018,4,Mitchell Barton,48060,106,San Diego,United States,North America,13068,12/03/2019,30/03/2019,18
1635,02/03/2018,6,Thelma Jefferson,23258,62,Atlanta,United States,North America,12196,24/06/2019,27/06/2019,3
1636,02/03/2018,6,Thelma Jefferson,32989,59,Puerto Vallarta,Mexico,North America,12830,16/05/2018,10/06/2018,25
1637,02/03/2018,4,Mitchell Barton,37423,93,New Orleans,United States,North America,8526,20/06/2019,30/06/2019,10
1638,02/03/2018,6,Thelma Jefferson,21775,51,Niagara Falls,Canada,North America,3633,30/08/2018,01/09/2018,2
1639,02/03/2018,5,Sandy Douglas,11259,115,Melbourne,Australia,Oceania/Australia,7695,02/09/2019,29/09/2019,27
1640,02/03/2018,6,Thelma Jefferson,24726,4,Nairobi,Kenya,Africa,5455,20/06/2018,25/06/2018,5
1641,02/03/2018,10,Simon Fleming,34945,118,Buenos Aires,Argentina,South America,4899,18/07/2018,20/07/2018,2
1642,02/03/2018,5,Sandy Douglas,10425,55,Acapulco,Mexico,North America,12351,04/05/2018,09/05/2018,5
1643,02/03/2018,8,Elisa Bennett,6297,84,Little Rock,United States,North America,8818,19/05/2019,06/06/2019,18
1644,02/03/2018,8,Elisa Bennett,1229,107,San Francisco,United States,North America,2130,26/06/2018,23/07/2018,27
1645,02/03/2018,5,Sandy Douglas,12851,69,Charleston,United States,North America,8707,29/08/2019,14/09/2019,16
1646,02/03/2018,8,Elisa Bennett,24911,34,Lisbon,Portugal,Europe,9006,11/12/2018,01/01/2019,21
1647,02/03/2018,1,Jordan Curry,30323,86,Louisville,United States,North America,9010,10/07/2019,23/07/2019,13
1648,02/03/2018,7,Horace Hawkins,26807,70,Charlotte,United States,North America,2398,04/06/2019,12/06/2019,8
1649,02/03/2018,10,Simon Fleming,17132,98,Omaha,United States,North America,7739,02/02/2019,09/02/2019,7
1650,03/03/2018,7,Horace Hawkins,15959,99,Orlando,United States,North America,12065,02/05/2019,01/06/2019,30
1651,03/03/2018,10,Simon Fleming,5314,113,Washington DC,United States,North America,12665,31/05/2019,26/06/2019,26
1652,03/03/2018,10,Simon Fleming,45327,70,Charlotte,United States,North America,11254,23/04/2018,25/04/2018,2
1653,03/03/2018,9,Olive Diaz,24817,73,Colorado Springs,United States,North America,14975,01/06/2019,15/06/2019,14
1654,03/03/2018,7,Horace Hawkins,23230,125,Santa Marta,Colombia,South America,4380,28/11/2018,28/12/2018,30
1655,03/03/2018,11,Kay Adams,15506,29,Dublin,Ireland,Europe,5679,13/12/2018,11/01/2019,29
1656,03/03/2018,2,Molly Cross,28472,53,Toronto,Canada,North America,8798,30/08/2019,12/09/2019,13
1657,03/03/2018,6,Thelma Jefferson,15961,73,Colorado Springs,United States,North America,10966,02/06/2019,09/06/2019,7
1658,03/03/2018,11,Kay Adams,36072,6,Fes,Morocco,Africa,12135,08/02/2019,09/02/2019,1
1659,03/03/2018,11,Kay Adams,41165,35,Moscow,Russia,Europe,11721,17/03/2018,13/04/2018,27
1660,03/03/2018,9,Olive Diaz,18406,127,Cusco,Peru,South America,4560,23/06/2018,10/07/2018,17
1661,03/03/2018,11,Kay Adams,7560,43,Luxor,Egypt,Middle East,10510,09/07/2019,29/07/2019,20
1662,03/03/2018,1,Jordan Curry,2993,126,Quito,Ecuador,South America,13428,08/02/2019,13/02/2019,5
1663,03/03/2018,6,Thelma Jefferson,24628,86,Louisville,United States,North America,9327,28/04/2019,01/05/2019,3
1664,03/03/2018,9,Olive Diaz,48506,91,Myrtle Beach,United States,North America,14278,27/03/2018,10/04/2018,14
1665,03/03/2018,9,Olive Diaz,746,38,Amsterdam,The Netherlands,Europe,11925,13/01/2019,28/01/2019,15
1666,03/03/2018,9,Olive Diaz,6421,43,Luxor,Egypt,Middle East,2388,28/09/2018,16/10/2018,18
1667,03/03/2018,9,Olive Diaz,32589,110,Tucson,United States,North America,9997,28/08/2019,29/08/2019,1
1668,03/03/2018,3,Carole Cox,1742,77,Greensboro,United States,North America,7261,30/09/2018,15/10/2018,15
1669,03/03/2018,9,Olive Diaz,31082,82,Las Vegas,United States,North America,5184,01/10/2018,22/10/2018,21
1670,04/03/2018,6,Thelma Jefferson,40747,45,Jerusalem,Israel,Middle East,3000,16/05/2018,17/05/2018,1
1671,04/03/2018,5,Sandy Douglas,12263,88,Miami Beach,United States,North America,2992,20/11/2018,08/12/2018,18
1672,04/03/2018,1,Jordan Curry,29534,90,Minneapolis,United States,North America,7566,18/03/2019,24/03/2019,6
1673,04/03/2018,8,Elisa Bennett,17469,110,Tucson,United States,North America,7867,10/09/2018,21/09/2018,11
1674,04/03/2018,8,Elisa Bennett,9638,13,Guangzhou,China,Asia,10281,10/02/2019,10/03/2019,28
1675,04/03/2018,7,Horace Hawkins,34444,59,Puerto Vallarta,Mexico,North America,14259,24/05/2018,27/05/2018,3
1676,04/03/2018,11,Kay Adams,44772,31,Rome,Italy,Europe,9731,07/08/2018,20/08/2018,13
1677,04/03/2018,3,Carole Cox,28014,19,Tokyo,Japan,Asia,5228,17/05/2018,19/05/2018,2
1678,04/03/2018,4,Mitchell Barton,8175,86,Louisville,United States,North America,11865,02/09/2019,17/09/2019,15
1679,04/03/2018,7,Horace Hawkins,38397,119,Natal,Brazil,South America,11841,15/06/2019,30/06/2019,15
1680,04/03/2018,10,Simon Fleming,4858,17,New Delhi,India,Asia,5610,11/02/2019,08/03/2019,25
1681,04/03/2018,4,Mitchell Barton,29509,14,Hong Kong,China,Asia,13977,18/05/2018,22/05/2018,4
1682,04/03/2018,3,Carole Cox,45544,45,Jerusalem,Israel,Middle East,2264,05/11/2018,27/11/2018,22
1683,04/03/2018,2,Molly Cross,17384,59,Puerto Vallarta,Mexico,North America,3937,01/03/2018,19/03/2018,18
1684,04/03/2018,2,Molly Cross,19437,128,Lima,Peru,South America,4717,30/10/2018,18/11/2018,19
1685,04/03/2018,8,Elisa Bennett,20351,55,Acapulco,Mexico,North America,14300,03/10/2018,25/10/2018,22
1686,04/03/2018,2,Molly Cross,17776,7,Cape Town Central,South Africa,Africa,4641,16/05/2019,02/06/2019,17
1687,04/03/2018,4,Mitchell Barton,8634,102,Portland,United States,North America,3304,02/06/2018,30/06/2018,28
1688,04/03/2018,1,Jordan Curry,27184,29,Dublin,Ireland,Europe,10703,04/08/2019,16/08/2019,12
1689,04/03/2018,6,Thelma Jefferson,45060,95,Newark,United States,North America,2652,21/01/2019,31/01/2019,10
1690,04/03/2018,8,Elisa Bennett,38712,55,Acapulco,Mexico,North America,11120,06/03/2019,13/03/2019,7
1691,04/03/2018,3,Carole Cox,16092,11,Siem Reap,Cambodia,Asia,5586,18/04/2019,07/05/2019,19
1692,04/03/2018,3,Carole Cox,31560,8,Johannesburg,South Africa,Africa,13306,11/01/2019,29/01/2019,18
1693,04/03/2018,8,Elisa Bennett,34528,82,Las Vegas,United States,North America,7054,30/10/2018,21/11/2018,22
1694,04/03/2018,10,Simon Fleming,46824,96,Norfolk,United States,North America,13424,17/06/2018,30/06/2018,13
1695,05/03/2018,8,Elisa Bennett,31946,103,Raleigh,United States,North America,3666,04/12/2018,03/01/2019,30
1696,05/03/2018,9,Olive Diaz,19934,26,Berlin,Germany,Europe,5006,10/04/2019,18/04/2019,8
1697,05/03/2018,11,Kay Adams,94,18,Ubud,Indonesia,Asia,6009,19/06/2019,20/06/2019,1
1698,05/03/2018,3,Carole Cox,6983,64,Baton Rouge,United States,North America,3144,14/08/2018,20/08/2018,6
1699,05/03/2018,5,Sandy Douglas,48561,50,Montreal,Canada,North America,5454,10/03/2019,26/03/2019,16
1700,05/03/2018,1,Jordan Curry,12006,64,Baton Rouge,United States,North America,11488,15/02/2018,12/03/2018,25
1701,05/03/2018,11,Kay Adams,21929,93,New Orleans,United States,North America,4577,28/02/2019,05/03/2019,5
1702,05/03/2018,1,Jordan Curry,4428,92,Nashville,United States,North America,12369,29/11/2018,07/12/2018,8
1703,05/03/2018,7,Horace Hawkins,35432,50,Montreal,Canada,North America,13996,10/06/2018,19/06/2018,9
1704,05/03/2018,5,Sandy Douglas,19799,92,Nashville,United States,North America,9524,20/10/2018,21/10/2018,1
1705,05/03/2018,10,Simon Fleming,6975,18,Ubud,Indonesia,Asia,8578,23/02/2019,14/03/2019,19
1706,05/03/2018,4,Mitchell Barton,13393,91,Myrtle Beach,United States,North America,6596,24/07/2018,14/08/2018,21
1707,05/03/2018,4,Mitchell Barton,28116,102,Portland,United States,North America,4045,02/09/2019,19/09/2019,17
1708,05/03/2018,11,Kay Adams,21369,61,Anchorage,United States,North America,14234,06/09/2019,18/09/2019,12
1709,05/03/2018,8,Elisa Bennett,19060,82,Las Vegas,United States,North America,2731,30/11/2018,13/12/2018,13
1710,05/03/2018,2,Molly Cross,24557,15,Shanghai,China,Asia,9305,23/02/2018,12/03/2018,17
1711,05/03/2018,1,Jordan Curry,2005,120,Rio de Janeiro,Brazil,South America,4479,30/04/2018,14/05/2018,14
1712,05/03/2018,4,Mitchell Barton,48251,112,Virginia Beach,United States,North America,14494,20/08/2019,31/08/2019,11
1713,05/03/2018,10,Simon Fleming,2939,68,Buffalo,United States,North America,5643,05/08/2018,04/09/2018,30
1714,05/03/2018,3,Carole Cox,27262,29,Dublin,Ireland,Europe,13771,27/07/2018,19/08/2018,23
1715,05/03/2018,3,Carole Cox,32640,12,Beijing,China,Asia,3069,01/05/2019,02/05/2019,1
1716,05/03/2018,4,Mitchell Barton,31252,126,Quito,Ecuador,South America,9616,24/09/2019,20/10/2019,26
1717,05/03/2018,3,Carole Cox,39254,116,Sydney,Australia,Oceania/Australia,6885,27/02/2019,28/03/2019,29
1718,05/03/2018,5,Sandy Douglas,31522,128,Lima,Peru,South America,2128,04/04/2018,13/04/2018,9
1719,05/03/2018,2,Molly Cross,37864,49,Halifax,Canada,North America,11080,23/03/2019,11/04/2019,19
1720,05/03/2018,9,Olive Diaz,22878,60,Anaheim,United States,North America,4384,29/04/2018,01/05/2018,2
1721,05/03/2018,9,Olive Diaz,17216,9,Knysna,South Africa,Africa,13306,23/03/2019,30/03/2019,7
1722,05/03/2018,8,Elisa Bennett,23918,31,Rome,Italy,Europe,9339,26/10/2018,10/11/2018,15
1723,05/03/2018,4,Mitchell Barton,14989,94,New York City,United States,North America,12836,13/07/2018,19/07/2018,6
1724,05/03/2018,9,Olive Diaz,21530,79,Houston,United States,North America,10779,22/06/2018,26/06/2018,4
1725,05/03/2018,1,Jordan Curry,49674,115,Melbourne,Australia,Oceania/Australia,7741,30/08/2018,09/09/2018,10
1726,06/03/2018,6,Thelma Jefferson,42526,57,Mexico City,Mexico,North America,9171,03/07/2018,07/07/2018,4
1727,06/03/2018,5,Sandy Douglas,2859,100,Palm Springs,United States,North America,6975,13/02/2019,16/02/2019,3
1728,06/03/2018,7,Horace Hawkins,12870,79,Houston,United States,North America,4082,14/02/2019,11/03/2019,25
1729,06/03/2018,11,Kay Adams,49558,61,Anchorage,United States,North America,9151,13/04/2018,05/05/2018,22
1730,06/03/2018,4,Mitchell Barton,17703,97,Oakland,United States,North America,3010,06/02/2019,07/02/2019,1
1731,06/03/2018,11,Kay Adams,48602,63,Baltimore,United States,North America,9417,12/09/2018,27/09/2018,15
1732,06/03/2018,11,Kay Adams,49789,16,Jaipur,India,Asia,14940,03/07/2018,28/07/2018,25
1733,06/03/2018,1,Jordan Curry,26949,57,Mexico City,Mexico,North America,10171,25/09/2018,03/10/2018,8
1734,06/03/2018,8,Elisa Bennett,3349,117,Port Moresby,Papua New Guinea,Oceania/Australia,7263,19/02/2018,21/03/2018,30
1735,06/03/2018,11,Kay Adams,8593,28,Budapest,Hungary,Europe,11970,08/05/2019,25/05/2019,17
1736,06/03/2018,4,Mitchell Barton,11698,103,Raleigh,United States,North America,5684,26/06/2018,20/07/2018,24
1737,06/03/2018,11,Kay Adams,25672,119,Natal,Brazil,South America,12238,28/04/2018,21/05/2018,23
1738,06/03/2018,11,Kay Adams,47191,38,Amsterdam,The Netherlands,Europe,8606,28/01/2019,20/02/2019,23
1739,06/03/2018,8,Elisa Bennett,6036,100,Palm Springs,United States,North America,3360,22/10/2018,28/10/2018,6
1740,06/03/2018,2,Molly Cross,45470,48,Calgary,Canada,North America,13712,23/05/2018,28/05/2018,5
1741,06/03/2018,3,Carole Cox,21177,3,Diani Beach,Kenya,Africa,6896,18/05/2019,29/05/2019,11
1742,06/03/2018,11,Kay Adams,42616,83,Lincoln,United States,North America,2088,10/07/2019,11/07/2019,1
1743,06/03/2018,9,Olive Diaz,9285,81,Kansas City,United States,North America,11216,13/05/2019,27/05/2019,14
1744,06/03/2018,1,Jordan Curry,46909,57,Mexico City,Mexico,North America,7025,21/03/2019,28/03/2019,7
1745,06/03/2018,10,Simon Fleming,21920,10,Stone Town,Tanzania,Africa,5594,17/04/2018,01/05/2018,14
1746,06/03/2018,6,Thelma Jefferson,45548,83,Lincoln,United States,North America,7187,21/05/2019,15/06/2019,25
1747,06/03/2018,4,Mitchell Barton,45835,26,Berlin,Germany,Europe,7441,14/06/2019,01/07/2019,17
1748,06/03/2018,5,Sandy Douglas,10489,90,Minneapolis,United States,North America,14475,21/08/2018,12/09/2018,22
1749,06/03/2018,10,Simon Fleming,33236,2,Kololi,Gambia,Africa,8083,13/06/2018,07/07/2018,24
1750,06/03/2018,4,Mitchell Barton,6218,7,Cape Town Central,South Africa,Africa,5861,03/11/2018,07/11/2018,4
1751,06/03/2018,3,Carole Cox,29237,23,Hoi An,Vietnam,Asia,2835,03/03/2019,08/03/2019,5
1752,06/03/2018,1,Jordan Curry,12496,27,Athens,Greece,Europe,5227,16/03/2019,21/03/2019,5
1753,06/03/2018,8,Elisa Bennett,31643,121,Sao Paulo,Brazil,South America,12268,27/09/2019,14/10/2019,17
1754,07/03/2018,10,Simon Fleming,23226,95,Newark,United States,North America,10973,13/04/2018,29/04/2018,16
1755,07/03/2018,6,Thelma Jefferson,40467,91,Myrtle Beach,United States,North America,13958,23/12/2018,18/01/2019,26
1756,07/03/2018,11,Kay Adams,5789,35,Moscow,Russia,Europe,5783,30/08/2018,11/09/2018,12
1757,07/03/2018,7,Horace Hawkins,1454,26,Berlin,Germany,Europe,4126,14/03/2019,18/03/2019,4
1758,07/03/2018,3,Carole Cox,31889,123,Santiago,Chile,South America,3520,08/01/2019,16/01/2019,8
1759,07/03/2018,1,Jordan Curry,14401,22,Chiang Mai,Thailand,Asia,7024,19/04/2019,21/04/2019,2
1760,07/03/2018,11,Kay Adams,35249,109,Tampa,United States,North America,5065,26/03/2019,04/04/2019,9
1761,07/03/2018,9,Olive Diaz,1629,11,Siem Reap,Cambodia,Asia,2170,06/04/2018,11/04/2018,5
1762,07/03/2018,6,Thelma Jefferson,1749,31,Rome,Italy,Europe,3124,15/09/2019,20/09/2019,5
1763,07/03/2018,3,Carole Cox,5251,21,Singapore,Singapore,Asia,12138,08/05/2018,16/05/2018,8
1764,07/03/2018,1,Jordan Curry,6583,81,Kansas City,United States,North America,7393,18/02/2018,13/03/2018,23
1765,07/03/2018,4,Mitchell Barton,19047,113,Washington DC,United States,North America,7449,28/08/2018,24/09/2018,27
1766,07/03/2018,7,Horace Hawkins,11788,26,Berlin,Germany,Europe,7208,24/05/2019,01/06/2019,8
1767,07/03/2018,7,Horace Hawkins,38125,68,Buffalo,United States,North America,3671,15/09/2019,18/09/2019,3
1768,07/03/2018,8,Elisa Bennett,7962,89,Milwaukee,United States,North America,10417,20/07/2019,09/08/2019,20
1769,07/03/2018,6,Thelma Jefferson,41617,12,Beijing,China,Asia,7019,22/08/2019,09/09/2019,18
1770,07/03/2018,2,Molly Cross,45544,125,Santa Marta,Colombia,South America,14355,03/02/2019,08/02/2019,5
1771,07/03/2018,11,Kay Adams,32908,70,Charlotte,United States,North America,2601,03/12/2018,22/12/2018,19
1772,07/03/2018,8,Elisa Bennett,31134,12,Beijing,China,Asia,10923,29/09/2019,04/10/2019,5
1773,07/03/2018,11,Kay Adams,39696,41,London,United Kingdom,Europe,5396,13/06/2019,18/06/2019,5
1774,07/03/2018,5,Sandy Douglas,48461,116,Sydney,Australia,Oceania/Australia,7294,05/02/2019,13/02/2019,8
1775,07/03/2018,5,Sandy Douglas,40048,33,Krakow,Poland,Europe,10562,09/05/2019,15/05/2019,6
1776,07/03/2018,9,Olive Diaz,35650,10,Stone Town,Tanzania,Africa,7623,04/02/2019,27/02/2019,23
1777,07/03/2018,6,Thelma Jefferson,14552,93,New Orleans,United States,North America,3533,05/04/2018,26/04/2018,21
1778,07/03/2018,3,Carole Cox,27111,28,Budapest,Hungary,Europe,8565,02/04/2018,26/04/2018,24
1779,07/03/2018,11,Kay Adams,24035,61,Anchorage,United States,North America,4670,09/05/2019,28/05/2019,19
1780,07/03/2018,4,Mitchell Barton,24874,3,Diani Beach,Kenya,Africa,7778,23/08/2019,07/09/2019,15
1781,07/03/2018,1,Jordan Curry,41882,53,Toronto,Canada,North America,8292,04/04/2018,03/05/2018,29
1782,07/03/2018,3,Carole Cox,6074,13,Guangzhou,China,Asia,3677,05/02/2019,06/03/2019,29
1783,07/03/2018,6,Thelma Jefferson,43152,120,Rio de Janeiro,Brazil,South America,14730,28/05/2018,16/06/2018,19
1784,08/03/2018,9,Olive Diaz,747,37,Zermatt,Switzerland,Europe,3177,14/12/2018,19/12/2018,5
1785,08/03/2018,11,Kay Adams,6084,23,Hoi An,Vietnam,Asia,3122,07/02/2019,27/02/2019,20
1786,08/03/2018,2,Molly Cross,6157,91,Myrtle Beach,United States,North America,7514,13/03/2018,09/04/2018,27
1787,08/03/2018,6,Thelma Jefferson,17675,100,Palm Springs,United States,North America,10680,27/09/2019,17/10/2019,20
1788,08/03/2018,4,Mitchell Barton,36106,92,Nashville,United States,North America,14538,19/08/2018,20/08/2018,1
1789,08/03/2018,4,Mitchell Barton,37319,53,Toronto,Canada,North America,4072,25/06/2018,28/06/2018,3
1790,08/03/2018,1,Jordan Curry,17256,77,Greensboro,United States,North America,3089,21/05/2019,01/06/2019,11
1791,08/03/2018,4,Mitchell Barton,17571,47,Dubai,United Arab Emirates,Middle East,12794,09/11/2018,12/11/2018,3
1792,08/03/2018,10,Simon Fleming,26034,17,New Delhi,India,Asia,14395,30/01/2019,08/02/2019,9
1793,08/03/2018,8,Elisa Bennett,2637,75,Fort Worth,United States,North America,3200,22/08/2019,25/08/2019,3
1794,08/03/2018,3,Carole Cox,6425,78,Honolulu,United States,North America,6977,14/07/2018,31/07/2018,17
1795,08/03/2018,1,Jordan Curry,6392,39,Istanbul,Turkey,Europe,13419,18/01/2019,29/01/2019,11
1796,08/03/2018,5,Sandy Douglas,2526,124,Bogota,Colombia,South America,14118,18/09/2019,22/09/2019,4
